File accession	File format	Output type	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample life stage	Biosample sex	Biosample Age	Biosample organism	Biosample treatments	Biosample subcellular fraction term name	Biosample phase	Biosample synchronization stage	Experiment target	Antibody accession	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate	Read length	Mapped read length	Run type	Paired end	Paired with	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Assembly	Platform	Controlled by	File Status	Audit WARNING	Audit INTERNAL_ACTION	Audit NOT_COMPLIANT	Audit ERROR
ENCFF000NUD	fastq	reads	ENCSR000BRX	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	unknown	Homo sapiens					CEBPB-human	ENCAB000AFB	DNA		see document	see document		False	2012-09-10	ENCODE				1	1	36		single-ended				1657780873	Richard Myers, HAIB	d40c55de2079b14a48534fc12b88a811		https://www.encodeproject.org/files/ENCFF000NUD/@@download/ENCFF000NUD.fastq.gz		Illumina Genome Analyzer IIx	/files/ENCFF000ODV/	released	low read depth, low read length, inconsistent platforms	biological replicates with identical biosample		
ENCFF000OAL	fastq	reads	ENCSR000BQM	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	unknown	Homo sapiens					PML-human	ENCAB000AKA	DNA		see document	see document		False	2012-02-29	ENCODE				1	1	36		single-ended				1571513732	Richard Myers, HAIB	f3c313c79054c9c04c92777b876d9732		https://www.encodeproject.org/files/ENCFF000OAL/@@download/ENCFF000OAL.fastq.gz		Illumina Genome Analyzer IIx	/files/ENCFF000ODV/	released	low read length, inconsistent platforms	biological replicates with identical biosample		
ENCFF000OAN	fastq	reads	ENCSR000BQM	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	unknown	Homo sapiens					PML-human	ENCAB000AKA	DNA		see document	see document		False	2012-02-29	ENCODE				2	1	36		single-ended				1521616360	Richard Myers, HAIB	07e31307aea0f1d3da023b5d48eb1f70		https://www.encodeproject.org/files/ENCFF000OAN/@@download/ENCFF000OAN.fastq.gz		Illumina Genome Analyzer IIx	/files/ENCFF000ODV/	released	low read length, inconsistent platforms	biological replicates with identical biosample		
ENCFF000WAV	fastq	reads	ENCSR000DZG	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	unknown	Homo sapiens					EP300-human	ENCAB000AJO	DNA		see document	see document		False	2011-10-29	ENCODE				1	1	36		single-ended				693626229	Michael Snyder, Stanford	710e333efec6b7cd08e5f13407f25baa		https://www.encodeproject.org/files/ENCFF000WAV/@@download/ENCFF000WAV.fastq.gz		Illumina Genome Analyzer	/files/ENCFF000VWV/	released	low read depth, low read length, inconsistent control read length	mismatched file status, biological replicates with identical biosample		
ENCFF000WAX	fastq	reads	ENCSR000DZG	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	unknown	Homo sapiens					EP300-human	ENCAB000AJO	DNA		see document	see document		False	2011-10-29	ENCODE				2	1	36		single-ended				737040426	Michael Snyder, Stanford	a0892f076ce71d1e9aac6da2b38c3ea8		https://www.encodeproject.org/files/ENCFF000WAX/@@download/ENCFF000WAX.fastq.gz		Illumina Genome Analyzer	/files/ENCFF000VWV/	released	low read depth, low read length, inconsistent control read length	mismatched file status, biological replicates with identical biosample		
ENCFF000WFR	fastq	reads	ENCSR000EUL	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	unknown	Homo sapiens					NR2C2-human	ENCAB000AMA	DNA		see document	see document		False	2011-10-29	ENCODE				1	1	32		single-ended				754952111	Peggy Farnham, USC	ef29b0894efe82f72d8707b5580c5ace		https://www.encodeproject.org/files/ENCFF000WFR/@@download/ENCFF000WFR.fastq.gz		Illumina Genome Analyzer	/files/ENCFF000VWV/	released	low read depth, inconsistent control read length	mismatched file status	insufficient read length	
ENCFF000WFZ	fastq	reads	ENCSR000EUL	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	unknown	Homo sapiens					NR2C2-human	ENCAB000AMA	DNA		see document	see document		False	2011-10-29	ENCODE				2	1	32		single-ended				953215497	Peggy Farnham, USC	d98f6eeee0f015b32273fc58128fef65		https://www.encodeproject.org/files/ENCFF000WFZ/@@download/ENCFF000WFZ.fastq.gz		Illumina Genome Analyzer	/files/ENCFF000VWV/	released	low read depth, inconsistent control read length	mismatched file status	insufficient read length	
ENCFF000WEO	fastq	reads	ENCSR000DNP	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	unknown	Homo sapiens					SUPT20H-human	ENCAB000ALB	DNA		see document	see document		False	2011-10-29	ENCODE				2	1	36		single-ended				1052184008	Kevin Struhl, HMS	030a6c3bebaa735cac11a06582c5d073		https://www.encodeproject.org/files/ENCFF000WEO/@@download/ENCFF000WEO.fastq.gz		Illumina Genome Analyzer	/files/ENCFF000VWV/	released	low read depth, low read length, mild to moderate bottlenecking, moderate library complexity, inconsistent control read length	mismatched file status, biological replicates with identical biosample		
ENCFF000WEP	fastq	reads	ENCSR000DNP	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	unknown	Homo sapiens					SUPT20H-human	ENCAB000ALB	DNA		see document	see document		False	2011-10-29	ENCODE				1	1	36		single-ended				972321661	Kevin Struhl, HMS	622e861a03c3bcbb49b9e4ced45bb9e2		https://www.encodeproject.org/files/ENCFF000WEP/@@download/ENCFF000WEP.fastq.gz		Illumina Genome Analyzer	/files/ENCFF000VWV/	released	low read depth, low read length, mild to moderate bottlenecking, moderate library complexity, inconsistent control read length	mismatched file status, biological replicates with identical biosample		
ENCFF000WHO	fastq	reads	ENCSR000DNQ	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	unknown	Homo sapiens					ZZZ3-human	ENCAB000AMX	DNA		see document	see document		False	2011-10-29	ENCODE				2	1	34		single-ended				932846131	Kevin Struhl, HMS	4a6a0d6cea1c5117a6202bb59061c882		https://www.encodeproject.org/files/ENCFF000WHO/@@download/ENCFF000WHO.fastq.gz		Illumina Genome Analyzer	/files/ENCFF000VWV/	released	low read depth, inconsistent control read length	mismatched file status, biological replicates with identical biosample	insufficient read length	
ENCFF000WHR	fastq	reads	ENCSR000DNQ	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	unknown	Homo sapiens					ZZZ3-human	ENCAB000AMX	DNA		see document	see document		False	2011-10-29	ENCODE				1	1	34		single-ended				1071601835	Kevin Struhl, HMS	5ce2f8caa19edbebe64c3cdbdf636c7f		https://www.encodeproject.org/files/ENCFF000WHR/@@download/ENCFF000WHR.fastq.gz		Illumina Genome Analyzer	/files/ENCFF000VWV/	released	low read depth, inconsistent control read length	mismatched file status, biological replicates with identical biosample	insufficient read length	
ENCFF818LOF	fastq	reads	ENCSR347NOB	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	unknown	Homo sapiens					CEBPZ-human	ENCAB000ADO	DNA					False	2016-03-02	ENCODE				1	1	36		single-ended				798399785	Michael Snyder, Stanford	78f086d82958bd5e1c2cada3a35a1f11	SRA:SRR5111456	https://www.encodeproject.org/files/ENCFF818LOF/@@download/ENCFF818LOF.fastq.gz		Illumina Genome Analyzer IIx	/files/ENCFF002ECR/	released	low read depth, low read length	missing unfiltered alignments		
ENCFF079VLS	fastq	reads	ENCSR347NOB	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	unknown	Homo sapiens					CEBPZ-human	ENCAB000ADO	DNA					False	2016-03-02	ENCODE				3	1	36		single-ended				1334051574	Michael Snyder, Stanford	9d9cbc1877353d0659b3a2c10caee521	SRA:SRR5111455	https://www.encodeproject.org/files/ENCFF079VLS/@@download/ENCFF079VLS.fastq.gz		Illumina Genome Analyzer IIx	/files/ENCFF002ECP/	released	low read depth, low read length	missing unfiltered alignments		
ENCFF001HHX	fastq	reads	ENCSR000DRZ	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	unknown	Homo sapiens					CTCF-human	ENCAB000AFP	DNA		see document	see document		False	2011-03-17	ENCODE				1	1	36		single-ended				479087832	John Stamatoyannopoulos, UW	81eedfd11fcdb0d7dc55f4c7a0d4dc37		https://www.encodeproject.org/files/ENCFF001HHX/@@download/ENCFF001HHX.fastq.gz		Illumina Genome Analyzer II	/files/ENCFF001HID/	released	low read depth, low read length, mild to moderate bottlenecking, moderate library complexity, inconsistent platforms		insufficient read depth	
ENCFF001HIA	fastq	reads	ENCSR000DRZ	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	unknown	Homo sapiens					CTCF-human	ENCAB000AFP	DNA		see document	see document		False	2011-03-17	ENCODE				2	1	36		single-ended				1109985066	John Stamatoyannopoulos, UW	9ab5067b99eef80955a450838000d2c2		https://www.encodeproject.org/files/ENCFF001HIA/@@download/ENCFF001HIA.fastq.gz		Illumina Genome Analyzer II	/files/ENCFF001HID/	released	low read depth, low read length, mild to moderate bottlenecking, moderate library complexity, inconsistent platforms		insufficient read depth	
ENCFF000AUC	fastq	reads	ENCSR000AOW	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	unknown	Homo sapiens					H3K79me2-human	ENCAB000ANH	DNA		see document	see document		False	2011-02-10	ENCODE				2	1	36		single-ended				719602857	Bradley Bernstein, Broad	7a712f728e2cda655b4c73b8d5b24a23		https://www.encodeproject.org/files/ENCFF000AUC/@@download/ENCFF000AUC.fastq.gz		Illumina Genome Analyzer IIx	/files/ENCFF000ARO/	released	low read length, inconsistent control read length		insufficient read depth	
ENCFF000AUD	fastq	reads	ENCSR000AOW	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	unknown	Homo sapiens					H3K79me2-human	ENCAB000ANH	DNA		see document	see document		False	2011-02-10	ENCODE				1	1	36		single-ended				731220694	Bradley Bernstein, Broad	2689ba7ae1d7caa04ffa0020faedd2b8		https://www.encodeproject.org/files/ENCFF000AUD/@@download/ENCFF000AUD.fastq.gz		Illumina Genome Analyzer IIx	/files/ENCFF000ARK/	released	low read length, inconsistent control read length		insufficient read depth	
ENCFF000ATO	fastq	reads	ENCSR000AKG	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	unknown	Homo sapiens					H3K4me2-human	ENCAB000ANF	DNA		see document	see document		False	2011-02-10	ENCODE				1	1	51		single-ended				564588335	Bradley Bernstein, Broad	e0a81f267a69e86bbc057338e258e405		https://www.encodeproject.org/files/ENCFF000ATO/@@download/ENCFF000ATO.fastq.gz		Illumina Genome Analyzer IIe	/files/ENCFF000ARK/	released			insufficient read depth	
ENCFF000ATW	fastq	reads	ENCSR000AKG	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	unknown	Homo sapiens					H3K4me2-human	ENCAB000ANF	DNA		see document	see document		False	2011-02-10	ENCODE				2	1	51		single-ended				378931800	Bradley Bernstein, Broad	bca31a1431432cf1cd479f1b211d3a0b		https://www.encodeproject.org/files/ENCFF000ATW/@@download/ENCFF000ATW.fastq.gz		Illumina Genome Analyzer IIe	/files/ENCFF000ARO/	released			insufficient read depth	
ENCFF000WGB	fastq	reads	ENCSR000DZU	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	unknown	Homo sapiens					USF2-human	ENCAB000AMH	DNA		see document	see document		False	2011-10-29	ENCODE				1	1	36		single-ended				927420117	Michael Snyder, Stanford	a880093f71a3f2df43994d2fb8e56d2b		https://www.encodeproject.org/files/ENCFF000WGB/@@download/ENCFF000WGB.fastq.gz		Illumina Genome Analyzer	/files/ENCFF000VWD/	released	low read depth, low read length, inconsistent control read length	mismatched file status, biological replicates with identical biosample		
ENCFF000WGC	fastq	reads	ENCSR000DZU	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	unknown	Homo sapiens					USF2-human	ENCAB000AMH	DNA		see document	see document		False	2011-10-29	ENCODE				2	1	36		single-ended				639283255	Michael Snyder, Stanford	1800b38ad67e1c481ee5c0c76d28b8c9		https://www.encodeproject.org/files/ENCFF000WGC/@@download/ENCFF000WGC.fastq.gz		Illumina Genome Analyzer	/files/ENCFF000VWK/	released	low read depth, low read length, inconsistent control read length	mismatched file status, biological replicates with identical biosample		
ENCFF000WEY	fastq	reads	ENCSR000DYZ	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	unknown	Homo sapiens					TBL1XR1-human	ENCAB000ALP	DNA		see document	see document		False	2012-05-14	ENCODE				1	1	36		single-ended				827881930	Michael Snyder, Stanford	0397c8004c5f4ded01b6a403a5696cca		https://www.encodeproject.org/files/ENCFF000WEY/@@download/ENCFF000WEY.fastq.gz		Illumina Genome Analyzer	/files/ENCFF000VWD/	released	low read depth, low read length, inconsistent control read length	mismatched file status, biological replicates with identical biosample		
ENCFF000WFA	fastq	reads	ENCSR000DYZ	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	unknown	Homo sapiens					TBL1XR1-human	ENCAB000ALP	DNA		see document	see document		False	2012-05-14	ENCODE				2	1	36		single-ended				1020129232	Michael Snyder, Stanford	58e19a0d1a46fe0a7edf4c1748565cce		https://www.encodeproject.org/files/ENCFF000WFA/@@download/ENCFF000WFA.fastq.gz		Illumina Genome Analyzer	/files/ENCFF000VWK/	released	low read depth, low read length, inconsistent control read length	mismatched file status, biological replicates with identical biosample		
ENCFF000VWL	fastq	reads	ENCSR000DNO	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	unknown	Homo sapiens					KAT2A-human	ENCAB000AHA	DNA		see document	see document		False	2011-10-29	ENCODE				1	1	36		single-ended				720203003	Kevin Struhl, HMS	88001c9cba175adda2ee73bc2b0700c9		https://www.encodeproject.org/files/ENCFF000VWL/@@download/ENCFF000VWL.fastq.gz		Illumina Genome Analyzer	/files/ENCFF000VWV/	released	low read depth, low read length, inconsistent control read length	mismatched file status, biological replicates with identical biosample		
ENCFF000VWM	fastq	reads	ENCSR000DNO	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	unknown	Homo sapiens					KAT2A-human	ENCAB000AHA	DNA		see document	see document		False	2011-10-29	ENCODE				2	1	36		single-ended				635782536	Kevin Struhl, HMS	33534079f187ac567299d487f910c9e4		https://www.encodeproject.org/files/ENCFF000VWM/@@download/ENCFF000VWM.fastq.gz		Illumina Genome Analyzer	/files/ENCFF000VWV/	released	low read depth, low read length, inconsistent control read length	mismatched file status, biological replicates with identical biosample		
ENCFF000NYY	fastq	reads	ENCSR000BGF	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	unknown	Homo sapiens					REST-human	ENCAB000AJK	DNA		see document	see document		False	2011-07-18	ENCODE				2	1	36		single-ended				1317809671	Richard Myers, HAIB	5e518f0c12b14e002454400f630d7767		https://www.encodeproject.org/files/ENCFF000NYY/@@download/ENCFF000NYY.fastq.gz		Illumina Genome Analyzer IIx	/files/ENCFF000ODJ/	released	mixed read lengths, low read depth, low read length, inconsistent control read length	characterization(s) pending review, biological replicates with identical biosample	insufficient read length, insufficient read depth	
ENCFF000NZA	fastq	reads	ENCSR000BGF	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	unknown	Homo sapiens					REST-human	ENCAB000AJK	DNA		see document	see document		False	2011-07-18	ENCODE				1	1	32		single-ended				2062006233	Richard Myers, HAIB	3a840846a41a3aac8f84c130460222bb		https://www.encodeproject.org/files/ENCFF000NZA/@@download/ENCFF000NZA.fastq.gz		Illumina Genome Analyzer IIx	/files/ENCFF000ODG/	released	mixed read lengths, low read depth, low read length, inconsistent control read length	characterization(s) pending review, biological replicates with identical biosample	insufficient read length, insufficient read depth	
ENCFF000NTS	fastq	reads	ENCSR000BJZ	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	unknown	Homo sapiens					BCLAF1-human	ENCAB000AEH	DNA		see document	see document		False	2011-07-18	ENCODE				1	1	36		single-ended				772866571	Richard Myers, HAIB	4719bfee507fdaf2aff47483116a5e2b		https://www.encodeproject.org/files/ENCFF000NTS/@@download/ENCFF000NTS.fastq.gz		Illumina Genome Analyzer IIx	/files/ENCFF000OCU/	released	low read depth, low read length	biological replicates with identical biosample		
ENCFF000NTV	fastq	reads	ENCSR000BJZ	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	unknown	Homo sapiens					BCLAF1-human	ENCAB000AEH	DNA		see document	see document		False	2011-07-18	ENCODE				2	1	36		single-ended				1177773055	Richard Myers, HAIB	500816db69d3c7328da04d081ff62f0f		https://www.encodeproject.org/files/ENCFF000NTV/@@download/ENCFF000NTV.fastq.gz		Illumina Genome Analyzer IIx	/files/ENCFF000ODP/	released	low read depth, low read length	biological replicates with identical biosample		
ENCFF000OHD	fastq	reads	ENCSR000BGI	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	unknown	Homo sapiens					USF1-human	ENCAB000AMF	DNA		see document	see document		False	2011-07-18	ENCODE				1	1	36		single-ended				1342435398	Richard Myers, HAIB	6ac3ffa3d0a83540737df8b93631025a		https://www.encodeproject.org/files/ENCFF000OHD/@@download/ENCFF000OHD.fastq.gz		Illumina Genome Analyzer IIx	/files/ENCFF000ODG/	released	mixed read lengths, borderline replicate concordance, moderate library complexity, low read depth, mild to moderate bottlenecking, inconsistent control read length, low read length	biological replicates with identical biosample	insufficient read depth	extremely low read length
ENCFF000OHN	fastq	reads	ENCSR000BGI	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	unknown	Homo sapiens					USF1-human	ENCAB000AMF	DNA		see document	see document		False	2011-07-18	ENCODE				2	1	25		single-ended				379088159	Richard Myers, HAIB	0f47495c79c51b624861af04ab420b56		https://www.encodeproject.org/files/ENCFF000OHN/@@download/ENCFF000OHN.fastq.gz		Illumina Genome Analyzer IIx	/files/ENCFF000ODJ/	released	mixed read lengths, borderline replicate concordance, moderate library complexity, low read depth, mild to moderate bottlenecking, low read length	biological replicates with identical biosample	insufficient read depth	extremely low read length
ENCFF000WDI	fastq	reads	ENCSR000EAC	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	unknown	Homo sapiens					RAD21-human	ENCAB000AKG	DNA		see document	see document		False	2011-10-29	ENCODE				1	1	27		single-ended				756807988	Michael Snyder, Stanford	85ac7a61f57a1baeba0f7b98153ec7a4		https://www.encodeproject.org/files/ENCFF000WDI/@@download/ENCFF000WDI.fastq.gz		Illumina Genome Analyzer	/files/ENCFF000VWF/	released	inconsistent control read length	biological replicates with identical biosample	insufficient read length	
ENCFF000WDJ	fastq	reads	ENCSR000EAC	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	unknown	Homo sapiens					RAD21-human	ENCAB000AKG	DNA		see document	see document		False	2011-10-29	ENCODE				2	1	27		single-ended				701196537	Michael Snyder, Stanford	5b537d7b582f9328fee601c299379aa8		https://www.encodeproject.org/files/ENCFF000WDJ/@@download/ENCFF000WDJ.fastq.gz		Illumina Genome Analyzer	/files/ENCFF000VWH/	released	inconsistent control read length	biological replicates with identical biosample	insufficient read length	
ENCFF000WEF	fastq	reads	ENCSR000DYT	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	unknown	Homo sapiens					SREBF2-human	ENCAB000ALD	DNA		see document	see document		False	2012-08-20	ENCODE				1	1	36		single-ended				1105778392	Michael Snyder, Stanford	f6bf9229e1aee0c25261987e6e4dd613		https://www.encodeproject.org/files/ENCFF000WEF/@@download/ENCFF000WEF.fastq.gz		Illumina Genome Analyzer	/files/ENCFF000VWF/	released	low read length, mild to moderate bottlenecking	biological replicates with identical biosample		
ENCFF000WEH	fastq	reads	ENCSR000DYT	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	unknown	Homo sapiens					SREBF2-human	ENCAB000ALD	DNA		see document	see document		False	2012-08-20	ENCODE				2	1	36		single-ended				1174930708	Michael Snyder, Stanford	b24008c92975a447fefc2be0c744744c		https://www.encodeproject.org/files/ENCFF000WEH/@@download/ENCFF000WEH.fastq.gz		Illumina Genome Analyzer	/files/ENCFF000VWH/	released	low read length, mild to moderate bottlenecking	biological replicates with identical biosample		
ENCFF000VTF	fastq	reads	ENCSR000EYZ	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	unknown	Homo sapiens					FOS-human	ENCAB000AEQ	DNA		see document	see document		False	2011-10-29	ENCODE				1	1	27		single-ended				132014501	Sherman Weissman, Yale	d59ff2b70d766fc6a82fd0036e294bca		https://www.encodeproject.org/files/ENCFF000VTF/@@download/ENCFF000VTF.fastq.gz		Illumina Genome Analyzer	/files/ENCFF000VWV/	released		NTR biosample, biological replicates with identical biosample	insufficient read length	
ENCFF000VTG	fastq	reads	ENCSR000EYZ	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	unknown	Homo sapiens					FOS-human	ENCAB000AEQ	DNA		see document	see document		False	2011-10-29	ENCODE				2	1	27		single-ended				167039576	Sherman Weissman, Yale	ad94b4c3d047656b0d9f056a280896ae		https://www.encodeproject.org/files/ENCFF000VTG/@@download/ENCFF000VTG.fastq.gz		Illumina Genome Analyzer	/files/ENCFF000VWV/	released		NTR biosample, biological replicates with identical biosample	insufficient read length	
